支付宝交易记录明细查询
账号:[ligson519241@gmail.com]
起始日期:[2016-01-01 00:00:00]    终止日期:[2017-01-02 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2017010121001004540246386030	,ZU0495CN224301317139367341243D290F14517FB781F8A	,2017-01-01 16:38:12 ,2017-01-01 16:38:13 ,2017-01-01 16:38:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,亚惠美食有限公司        ,（普通客户）于2017-01-01 16:38（核算日：2017-01-01）在北京永旺梦乐城美食广场（钱箱：01）销售出库单据号：017101163817，制单人：王金娜，货品：骨肉相连*1、骨肉相连*1。,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2017010121001004540246415940	,ZU0495CN2241013B2FC90DB30A24E29B921D1884DA95C2D	,2017-01-01 16:37:57 ,2017-01-01 16:37:59 ,2017-01-01 16:37:59 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,亚惠美食有限公司        ,（普通客户）于2017-01-01 16:38（核算日：2017-01-01）在北京永旺梦乐城美食广场（钱箱：01）销售出库单据号：017101163756，制单人：王金娜，货品：煎锅贴/个*10、百事美年达(厨)*1、内脂豆腐羹*1、糯米水晶烧卖*4。,27.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2017010121001004540246400142	,ZU0495CN2189013E3F1D87639FB48ACB27E38855443B4E3	,2017-01-01 16:30:33 ,2017-01-01 16:30:36 ,2017-01-01 16:30:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,亚惠美食有限公司        ,（普通客户）于2017-01-01 16:30（核算日：2017-01-01）在北京永旺梦乐城美食广场（钱箱：28）销售出库单据号：287101163042，制单人：常俊芬，货品：风味凉皮*1。,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20170101118935574541 	,                    	,2017-01-01 06:55:18 ,                    ,2017-01-01 06:55:18 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.31-收益发放 ,7.09    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20161231200040011100540012339486	,                    	,2016-12-31 20:05:51 ,2016-12-31 20:05:54 ,2016-12-31 20:05:54 ,支付宝网站     ,即时到账交易          ,继               ,收款                  ,240.00  ,支出      ,交易成功    ,0.00     ,0.00     ,收款                  ,已支出      ,
20161231117693491541 	,                    	,2016-12-31 06:02:15 ,                    ,2016-12-31 06:02:15 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.30-收益发放 ,7.12    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20161230200040011100540011163299	,                    	,2016-12-30 12:17:15 ,2016-12-30 12:17:17 ,2016-12-30 12:17:17 ,支付宝网站     ,即时到账交易          ,晨光烧饼            ,收款                  ,11.50   ,支出      ,交易成功    ,0.00     ,0.00     ,收款                  ,已支出      ,
2016123021001004540242872970	,MKYLK8DFQ4a0        	,2016-12-30 11:34:00 ,2016-12-30 11:34:01 ,2016-12-30 11:34:01 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,iTunes & App Store,iTunes & App Store: 购买商品日期 12.30,40.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20161230116768579541 	,                    	,2016-12-30 07:15:16 ,                    ,2016-12-30 07:15:16 ,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.29-收益发放 ,7.11    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2016122921001001540241268228	,T5000P2946028833026105	,2016-12-29 11:05:14 ,2016-12-29 11:05:20 ,2016-12-30 11:10:06 ,淘宝        ,支付宝担保交易         ,饿了么订餐123        ,宫爆鸡丁饭 等多件           ,18.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
